record_number,buggy_code,fixed_code,code_similarity
100001,"/** 
 * Return the entry basic block for the CFG.
 * @return the entry basic block for the CFG.
 */
public T entry(){
  return getNode(0);
}","/** 
 * Return the entry basic block for the CFG.
 */
public T entry(){
  return getNode(0);
}",0.8034188034188035
100002,"/** 
 * Return the exit basic block for the CFG.
 * @return the exit basic block for the CFG.
 */
public T exit(){
  return exit;
}","/** 
 * Return the exit basic block for the CFG.
 */
public T exit(){
  return exit;
}",0.7926267281105991
100003,"/** 
 * @param method
 */
protected AbstractCFG(IMethod method){
  this.method=method;
  this.catchBlocks=new BitVector(10);
}","protected AbstractCFG(IMethod method){
  this.method=method;
  this.catchBlocks=new BitVector(10);
}",0.8849557522123894
100004,"public static ExplodedInterproceduralCFG make(CallGraph CG){
  return new ExplodedInterproceduralCFG(CG);
}","public static ExplodedInterproceduralCFG make(CallGraph cg){
  return new ExplodedInterproceduralCFG(cg);
}",0.9626168224299064
100005,"public boolean isEntryBlock(){
  return original.isEntryBlock();
}","public boolean isEntryBlock(){
  return instructionIndex == ENTRY_INDEX;
}",0.7
100006,"public int getPredNodeCount(ExplodedBasicBlock b) throws IllegalArgumentException {
  if (b == null) {
    throw new IllegalArgumentException(""String_Node_Str"");
  }
  if (b.isEntryBlock()) {
    return 0;
  }
  if (b.equals(exit) || b.instructionIndex == b.original.getFirstInstructionIndex()) {
    return ir.getControlFlowGraph().getPredNodeCount(b.original);
  }
 else {
    return 1;
  }
}","public int getPredNodeCount(ExplodedBasicBlock b) throws IllegalArgumentException {
  if (b == null) {
    throw new IllegalArgumentException(""String_Node_Str"");
  }
  if (b.isEntryBlock()) {
    return 0;
  }
  if (b.isExitBlock()) {
    return ir.getControlFlowGraph().getPredNodeCount(ir.getControlFlowGraph().exit());
  }
  if (b.instructionIndex == b.original.getFirstInstructionIndex()) {
    if (b.original.isEntryBlock()) {
      return 1;
    }
 else {
      return ir.getControlFlowGraph().getPredNodeCount(b.original);
    }
  }
 else {
    return 1;
  }
}",0.7866805411030177
100007,"public boolean isCatchBlock(){
  return (original.isCatchBlock() && instructionIndex == original.getFirstInstructionIndex());
}","public boolean isCatchBlock(){
  if (original == null) {
    return false;
  }
  return (original.isCatchBlock() && instructionIndex == original.getFirstInstructionIndex());
}",0.8410596026490066
100008,"public ExplodedBasicBlock(int instructionIndex,ISSABasicBlock original){
}","public ExplodedBasicBlock(int instructionIndex,ISSABasicBlock original){
  this.instructionIndex=instructionIndex;
  this.original=original;
}",0.6851851851851852
100009,"public boolean isExitBlock(){
  return original.isExitBlock();
}","public boolean isExitBlock(){
  return instructionIndex == EXIT_INDEX;
}",0.6764705882352942
100010,"private T getDominator(T node){
  return getInfo(node).dominator;
}","private T getDominator(T node){
}",0.66
100011,"/** 
 * The goal of this step is to perform a DFS numbering on the CFG, starting at the root. The exit node is not included.
 */
private void step1(){
  reachableNodeCount=0;
  DFSDiscoverTimeIterator<T> dfs=new SlowDFSDiscoverTimeIterator<T>(G,root){
    public static final long serialVersionUID=88831771771711L;
    @Override protected void visitEdge(    T from,    T to){
      if (DEBUG)       System.out.println(""String_Node_Str"" + from + ""String_Node_Str""+ to);
      setParent(to,from);
    }
  }
;
  while (dfs.hasNext()) {
    T node=dfs.next();
    vertex[++reachableNodeCount]=node;
    setSemi(node,reachableNodeCount);
    if (DEBUG)     System.out.println(node + ""String_Node_Str"" + reachableNodeCount);
  }
}","/** 
 * The goal of this step is to perform a DFS numbering on the CFG, starting at the root. The exit node is not included.
 */
private void step1(){
}",0.3470319634703196
100012,"@Override protected final DominatorInfo getInfo(T node){
  return (DominatorInfo)infoMap[getGraph().getNumber(node)];
}","@Override protected final DominatorInfo getInfo(T node){
}",0.655367231638418
100013,"/** 
 * @param catchClasses Set of TypeReference
 * @param klass an Exception Class
 * @return true iff klass is a subclass of some element of the Set
 * @throws IllegalArgumentException if catchClasses is null
 */
public static boolean catches(Set<IClass> catchClasses,IClass klass,IClassHierarchy cha){
  if (catchClasses == null) {
    throw new IllegalArgumentException(""String_Node_Str"");
  }
  if (catchClasses.size() == 1) {
    IClass c=catchClasses.iterator().next();
    if (c.getReference().equals(TypeReference.JavaLangThread)) {
      return true;
    }
  }
  for (  IClass c : catchClasses) {
    if (cha.isAssignableFrom(c,klass)) {
      return true;
    }
  }
  return false;
}","/** 
 * @param catchClasses Set of TypeReference
 * @param klass an Exception Class
 * @return true iff klass is a subclass of some element of the Set
 * @throws IllegalArgumentException if catchClasses is null
 */
public static boolean catches(Set<IClass> catchClasses,IClass klass,IClassHierarchy cha){
  if (catchClasses == null) {
    throw new IllegalArgumentException(""String_Node_Str"");
  }
  if (catchClasses.size() == 1) {
    IClass c=catchClasses.iterator().next();
    if (c != null && c.getReference().equals(TypeReference.JavaLangThread)) {
      return true;
    }
  }
  for (  IClass c : catchClasses) {
    if (c != null && cha.isAssignableFrom(c,klass)) {
      return true;
    }
  }
  return false;
}",0.9816124469589816
