record_number,buggy_code,fixed_code,code_similarity
83001,"public void set(Object type){
  if (type == LONG || type == DOUBLE) {
    Object o=this.stack[this.stackCount - 1];
    if (o != LONG && o != DOUBLE) {
      this.actualStackCount++;
    }
  }
  this.stack[this.stackCount - 1]=type;
}","public void set(Object type){
  if (type == null) {
    return;
  }
  if (type == LONG || type == DOUBLE) {
    Object o=this.stack[this.stackCount - 1];
    if (o != LONG && o != DOUBLE) {
      this.actualStackCount++;
    }
  }
  this.stack[this.stackCount - 1]=type;
}",0.924901185770751
83002,"@Override public IValue resolve(MarkerList markers,IContext context){
  this.resolveReceiver(markers,context);
  IValue v=this.resolveFieldAccess(markers,context);
  if (v != null) {
    return v;
  }
  Marker marker=I18n.createMarker(this.position,""String_Node_Str"",this.name.unqualified);
  marker.addInfo(I18n.getString(""String_Node_Str"",this.name.qualified));
  if (this.receiver != null) {
    marker.addInfo(I18n.getString(""String_Node_Str"",this.receiver.getType()));
  }
  markers.add(marker);
  return this;
}","@Override public IValue resolve(MarkerList markers,IContext context){
  this.resolveReceiver(markers,context);
  IValue v=this.resolveFieldAccess(markers,context);
  if (v != null) {
    return v;
  }
  if (this.receiver != null && !this.receiver.isResolved()) {
    return this;
  }
  Marker marker=I18n.createMarker(this.position,""String_Node_Str"",this.name.unqualified);
  marker.addInfo(I18n.getString(""String_Node_Str"",this.name.qualified));
  if (this.receiver != null) {
    marker.addInfo(I18n.getString(""String_Node_Str"",this.receiver.getType()));
  }
  markers.add(marker);
  return this;
}",0.9256938227394808
83003,"@Override default IValue resolve(MarkerList markers,IContext context){
  int wildcards=this.wildcardCount();
  if (wildcards > 0) {
    return this.toLambda(markers,context,wildcards);
  }
  this.resolveReceiver(markers,context);
  this.resolveArguments(markers,context);
  IValue resolved=this.resolveCall(markers,context);
  if (resolved != null) {
    return resolved;
  }
  this.reportResolve(markers,context);
  return this;
}","@Override default IValue resolve(MarkerList markers,IContext context){
  int wildcards=this.wildcardCount();
  if (wildcards > 0) {
    return this.toLambda(markers,context,wildcards);
  }
  this.resolveReceiver(markers,context);
  this.resolveArguments(markers,context);
  IValue resolved=this.resolveCall(markers,context);
  if (resolved != null) {
    return resolved;
  }
  IValue receiver=this.getReceiver();
  if (receiver != null && !receiver.isResolved()) {
    return this;
  }
  if (!this.getArguments().isResolved()) {
    return this;
  }
  this.reportResolve(markers,context);
  return this;
}",0.8312439729990356
83004,"@Override public IValue withType(IType type,ITypeContext typeContext,MarkerList markers,IContext context){
  if (type.isArrayType()) {
    return this;
  }
  IAnnotation annotation=type.getTheClass().getAnnotation(Types.NIL_CONVERTIBLE_CLASS);
  if (annotation != null) {
    this.methodName=LiteralConversion.getMethodName(annotation);
    this.requiredType=type;
    return this;
  }
  markers.add(I18n.createMarker(this.position,""String_Node_Str"",type));
  return this;
}","@Override public IValue withType(IType type,ITypeContext typeContext,MarkerList markers,IContext context){
  if (type.isArrayType()) {
    this.requiredType=type;
    this.methodName=Names.apply;
    return this;
  }
  IAnnotation annotation=type.getTheClass().getAnnotation(Types.NIL_CONVERTIBLE_CLASS);
  if (annotation != null) {
    this.methodName=LiteralConversion.getMethodName(annotation);
    this.requiredType=type;
    return this;
  }
  if (type != dyvil.tools.compiler.ast.type.Types.UNKNOWN) {
    markers.add(I18n.createMarker(this.position,""String_Node_Str"",type));
  }
 else {
    markers.add(I18n.createMarker(this.position,""String_Node_Str"",type));
  }
  return this;
}",0.7934595524956971
83005,"@Override public void setValue(IValue value){
  REPLVariable field=new REPLVariable(this,ICodePosition.ORIGIN,null,Types.UNKNOWN,value,this.className,Modifiers.FINAL);
  this.memberClass=this.getREPLClass(field);
  value.resolveTypes(this.markers,this);
  value=value.resolve(this.markers,this);
  if (value.valueTag() == IValue.FIELD_ACCESS) {
    IDataMember f=((FieldAccess)value).getField();
    if (f instanceof REPLVariable) {
      ((REPLVariable)f).updateValue();
      System.out.println(f);
      return;
    }
  }
  IType type=value.getType();
  value=value.withType(type,type,this.markers,this);
  if (value == null) {
    throw new Error(""String_Node_Str"" + type);
  }
  type=value.getType();
  value.checkTypes(this.markers,this);
  value.check(this.markers,this);
  if (this.hasErrors()) {
    return;
  }
  for (int i=0; i < DyvilCompiler.constantFolding; i++) {
    value=value.foldConstants();
  }
  value=value.cleanup(this,this);
  field.setValue(value);
  field.setType(type);
  field.setName(this.getFieldName(type));
  this.compileVariable(field);
  if (type != Types.VOID) {
    this.fields.put(field.getName(),field);
    System.out.println(field.toString());
  }
}","@Override public void setValue(IValue value){
  REPLVariable field=new REPLVariable(this,ICodePosition.ORIGIN,null,Types.UNKNOWN,value,this.className,Modifiers.FINAL);
  this.memberClass=this.getREPLClass(field);
  value.resolveTypes(this.markers,this);
  value=value.resolve(this.markers,this);
  if (value.valueTag() == IValue.FIELD_ACCESS) {
    IDataMember f=((FieldAccess)value).getField();
    if (f instanceof REPLVariable) {
      ((REPLVariable)f).updateValue();
      System.out.println(f);
      return;
    }
  }
  IType type=value.getType();
  IValue typedValue=value.withType(type,type,this.markers,this);
  if (typedValue != null) {
    value=typedValue;
  }
  type=value.getType();
  value.checkTypes(this.markers,this);
  value.check(this.markers,this);
  if (this.hasErrors()) {
    return;
  }
  for (int i=0; i < DyvilCompiler.constantFolding; i++) {
    value=value.foldConstants();
  }
  value=value.cleanup(this,this);
  field.setValue(value);
  field.setType(type);
  field.setName(this.getFieldName(type));
  this.compileVariable(field);
  if (type != Types.VOID) {
    this.fields.put(field.getName(),field);
    System.out.println(field.toString());
  }
}",0.9620573355817876
83006,"private IValue typed(IType type,ITypeContext typeContext,MarkerList markers,IContext context){
  IValue resolved=super.resolve(markers,context);
  this.resolved=true;
  IValue typed;
  if (resolved == this) {
    this.returnType=null;
    typed=super.withType(type,typeContext,markers,context);
  }
 else {
    typed=resolved.withType(type,typeContext,markers,context);
  }
  return typed;
}","private IValue typed(IType type,ITypeContext typeContext,MarkerList markers,IContext context){
  IValue resolved=super.resolve(markers,context);
  this.resolved=true;
  IValue typed;
  if (resolved == this) {
    this.returnType=null;
    typed=super.withType(type,typeContext,markers,context);
  }
 else {
    typed=resolved.withType(type,typeContext,markers,context);
  }
  if (typed == null) {
    Util.createTypeError(markers,resolved,type,typeContext,""String_Node_Str"");
    return resolved;
  }
  return typed;
}",0.8294829482948295
83007,"@Override public void writeStatement(MethodWriter writer) throws BytecodeException {
  dyvil.tools.asm.Label start=new dyvil.tools.asm.Label();
  dyvil.tools.asm.Label end=new dyvil.tools.asm.Label();
  writer.writeLabel(start);
  int count=writer.localCount();
  if (this.labels == null) {
    for (int i=0; i < this.valueCount; i++) {
      this.values[i].writeStatement(writer);
    }
  }
 else {
    for (int i=0; i < this.valueCount; i++) {
      Label l=this.labels[i];
      if (l != null) {
        writer.writeLabel(l.target);
      }
      this.values[i].writeStatement(writer);
    }
  }
  writer.resetLocals(count);
  writer.writeLabel(end);
  if (this.variables == null) {
    return;
  }
  for (  Entry<Name,Variable> entry : this.variables) {
    entry.getValue().writeLocal(writer,start,end);
  }
}","@Override public void writeStatement(MethodWriter writer) throws BytecodeException {
  dyvil.tools.asm.Label start=new dyvil.tools.asm.Label();
  dyvil.tools.asm.Label end=new dyvil.tools.asm.Label();
  writer.writeLabel(start);
  int localCount=writer.localCount();
  if (this.labels == null) {
    for (int i=0; i < this.valueCount; i++) {
      this.values[i].writeStatement(writer);
    }
  }
 else {
    for (int i=0; i < this.valueCount; i++) {
      Label label=this.labels[i];
      if (label != null) {
        writer.writeLabel(label.target);
      }
      this.values[i].writeStatement(writer);
    }
  }
  writer.resetLocals(localCount);
  writer.writeLabel(end);
  if (this.variables == null) {
    return;
  }
  for (  Entry<Name,Variable> entry : this.variables) {
    entry.getValue().writeLocal(writer,start,end);
  }
}",0.9866666666666668
83008,"@Override public IValue resolve(MarkerList markers,IContext context){
  if (this.valueCount <= 0) {
    return this;
  }
  IContext context1=new CombiningContext(this,context);
  int len=this.valueCount - 1;
  for (int i=0; i < len; i++) {
    IValue v1=this.values[i];
    IValue v2=v1.resolve(markers,context1);
    if (v1 != v2) {
      this.values[i]=v2;
    }
    if (v2.valueTag() == IValue.VARIABLE) {
      this.addVariable(v2);
    }
    v1=v2.withType(Types.VOID,Types.VOID,markers,context1);
    if (v1 == null) {
      Marker marker=I18n.createMarker(v2.getPosition(),""String_Node_Str"");
      marker.addInfo(I18n.getString(""String_Node_Str"",v2.getType()));
      markers.add(marker);
    }
 else {
      this.values[i]=v1;
    }
  }
  this.values[len]=this.values[len].resolve(markers,context1);
  return this;
}","@Override public IValue resolve(MarkerList markers,IContext context){
  if (this.valueCount <= 0) {
    return this;
  }
  IContext combinedContext=new CombiningContext(this,context);
  int len=this.valueCount - 1;
  for (int i=0; i < len; i++) {
    IValue resolved=this.values[i]=this.values[i].resolve(markers,combinedContext);
    if (resolved.valueTag() == IValue.VARIABLE) {
      this.addVariable(resolved);
    }
    IValue typed=resolved.withType(Types.VOID,Types.VOID,markers,combinedContext);
    if (typed == null) {
      Marker marker=I18n.createMarker(resolved.getPosition(),""String_Node_Str"");
      marker.addInfo(I18n.getString(""String_Node_Str"",resolved.getType()));
      markers.add(marker);
    }
 else {
      this.values[i]=typed;
    }
  }
  this.values[len]=this.values[len].resolve(markers,combinedContext);
  return this;
}",0.8747016706443914
83009,"@Override public IValue withType(IType type,ITypeContext typeContext,MarkerList markers,IContext context){
  if (this.valueCount > 0) {
    IValue v=this.values[this.valueCount - 1].withType(type,typeContext,markers,new CombiningContext(this,context));
    if (v != null) {
      this.values[this.valueCount - 1]=v;
      this.returnType=v.getType();
      return this;
    }
  }
  return type == Types.VOID ? this : null;
}","@Override public IValue withType(IType type,ITypeContext typeContext,MarkerList markers,IContext context){
  if (this.valueCount > 0) {
    IValue typed=this.values[this.valueCount - 1].withType(type,typeContext,markers,new CombiningContext(this,context));
    if (typed != null) {
      this.values[this.valueCount - 1]=typed;
      this.returnType=typed.getType();
      return this;
    }
  }
  return type == Types.VOID ? this : null;
}",0.9722222222222222
83010,"protected void addVariable(IValue value){
  if (this.variables == null) {
    this.variables=new IdentityHashMap();
  }
  Variable var=((FieldInitializer)value).variable;
  this.variables.put(var.getName(),var);
}","protected void addVariable(IValue value){
  if (this.variables == null) {
    this.variables=new IdentityHashMap<>();
  }
  Variable var=((FieldInitializer)value).variable;
  this.variables.put(var.getName(),var);
}",0.9953271028037384
