record_number,buggy_code,fixed_code
28001,"protected void init(){
  measureHeaderHeight();
  setupAnimator();
  setupOnScrollListener();
}","protected void init(){
  setupAnimator();
  measureHeaderHeight();
  setupOnScrollListener();
}"
28002,"@Nullable public static Class<?> getGenericType(@NonNull Class<?> in,@NonNull Class<?> whichExtends){
  final Type genericSuperclass=in.getGenericSuperclass();
  if (genericSuperclass instanceof ParameterizedType) {
    final Type[] typeArgs=((ParameterizedType)genericSuperclass).getActualTypeArguments();
    for (    Type arg : typeArgs) {
      if (arg instanceof Class<?>) {
        final Class<?> argClass=(Class<?>)arg;
        if (whichExtends.isAssignableFrom(argClass)) {
          return argClass;
        }
      }
    }
  }
  return null;
}","@Nullable public static Class<?> getGenericType(@NonNull Class<?> in,@NonNull Class<?> whichExtends){
  final Type genericSuperclass=in.getGenericSuperclass();
  if (genericSuperclass instanceof ParameterizedType) {
    final Type[] typeArgs=((ParameterizedType)genericSuperclass).getActualTypeArguments();
    for (    Type arg : typeArgs) {
      if (arg instanceof ParameterizedType) {
        arg=((ParameterizedType)arg).getRawType();
      }
      if (arg instanceof Class<?>) {
        final Class<?> argClass=(Class<?>)arg;
        if (whichExtends.isAssignableFrom(argClass)) {
          return argClass;
        }
      }
    }
  }
  return null;
}"
28003,"/** 
 * Event为pic_sysphoto, pic_photo_or_album, pic_weixin时触发
 * @param reader reader
 * @return 读取结果
 * @throws XMLStreamException XML解析异常
 */
protected static Map<String,Object> eventSendPicsInfo(XMLEventReader reader) throws XMLStreamException {
  Map<String,Object> sendPicsInfoMap=new HashMap<String,Object>();
  while (reader.hasNext()) {
    XMLEvent event=reader.nextEvent();
    if (event.isStartElement()) {
      String tagName=event.asStartElement().getName().toString();
      if (""String_Node_Str"".equals(tagName)) {
        sendPicsInfoMap.put(tagName,reader.getElementText());
      }
 else       if (""String_Node_Str"".equals(tagName)) {
        StringBuilder sb=new StringBuilder();
        while (reader.hasNext()) {
          XMLEvent event1=reader.nextEvent();
          if (event1.isStartElement() && ""String_Node_Str"".equals(event1.asStartElement().getName().toString())) {
            sb.append(reader.getElementText());
            sb.append(""String_Node_Str"");
          }
 else           if (event1.isEndElement() && ""String_Node_Str"".equals(event1.asEndElement().getName().toString())) {
            break;
          }
        }
        sendPicsInfoMap.put(tagName,sb.substring(0,sb.length()));
      }
    }
  }
  return sendPicsInfoMap;
}","/** 
 * Event为pic_sysphoto, pic_photo_or_album, pic_weixin时触发
 * @param reader reader
 * @return 读取结果
 * @throws XMLStreamException XML解析异常
 */
protected static Map<String,Object> eventSendPicsInfo(XMLEventReader reader) throws XMLStreamException {
  Map<String,Object> sendPicsInfoMap=new HashMap<String,Object>();
  while (reader.hasNext()) {
    XMLEvent event=reader.nextEvent();
    if (event.isStartElement()) {
      String tagName=event.asStartElement().getName().toString();
      if (""String_Node_Str"".equals(tagName)) {
        sendPicsInfoMap.put(tagName,reader.getElementText());
      }
 else       if (""String_Node_Str"".equals(tagName)) {
        List<Map<String,String>> picList=CollectionUtil.newArrayList();
        while (reader.hasNext()) {
          XMLEvent event1=reader.nextEvent();
          if (event1.isStartElement() && ""String_Node_Str"".equals(event1.asStartElement().getName().toString())) {
            Map<String,String> picMap=new HashMap<String,String>();
            picMap.put(""String_Node_Str"",reader.getElementText());
            picList.add(picMap);
          }
 else           if (event1.isEndElement() && ""String_Node_Str"".equals(event1.asEndElement().getName().toString())) {
            break;
          }
        }
        sendPicsInfoMap.put(tagName,picList);
      }
    }
  }
  return sendPicsInfoMap;
}"
28004,"@Override public void onResponse(int resultCode,String resultJson){
  if (HttpStatus.SC_OK == resultCode) {
    GetJsApiTicketResponse response=JSONUtil.toBean(resultJson,GetJsApiTicketResponse.class);
    LOG.debug(""String_Node_Str"",response.getTicket());
    ApiConfig.this.jsApiTicket=response.getTicket();
    jsTokenStartTime=System.currentTimeMillis();
  }
}","@Override public void onResponse(int resultCode,String resultJson){
  if (HttpStatus.SC_OK == resultCode) {
    GetJsApiTicketResponse response=JSONUtil.toBean(resultJson,GetJsApiTicketResponse.class);
    LOG.debug(""String_Node_Str"",response.getTicket());
    if (StrUtil.isBlank(response.getTicket())) {
      jsTokenStartTime=oldTime;
      throw new WeixinException(""String_Node_Str"" + response.getErrcode() + ""String_Node_Str""+ response.getErrmsg());
    }
    jsApiTicket=response.getTicket();
  }
}"
28005,"public String getJsApiTicket(){
  long now=System.currentTimeMillis();
  if (now - this.jsTokenStartTime > 7100000) {
    initJSToken();
  }
  return jsApiTicket;
}","public String getJsApiTicket(){
  long now=System.currentTimeMillis();
  if (now - this.jsTokenStartTime > 7100000) {
    getAccessToken();
    initJSToken(now);
  }
  return jsApiTicket;
}"
28006,"/** 
 * 初始化微信JS-SDK，获取JS-SDK token
 */
private void initJSToken(){
  LOG.debug(""String_Node_Str"");
  String url=""String_Node_Str"" + accessToken + ""String_Node_Str"";
  NetWorkCenter.get(url,null,new NetWorkCenter.ResponseCallback(){
    @Override public void onResponse(    int resultCode,    String resultJson){
      if (HttpStatus.SC_OK == resultCode) {
        GetJsApiTicketResponse response=JSONUtil.toBean(resultJson,GetJsApiTicketResponse.class);
        LOG.debug(""String_Node_Str"",response.getTicket());
        ApiConfig.this.jsApiTicket=response.getTicket();
        jsTokenStartTime=System.currentTimeMillis();
      }
    }
  }
);
}","/** 
 * 初始化微信JS-SDK，获取JS-SDK token
 * @param refreshTime 刷新时间
 */
private void initJSToken(final long refreshTime){
  LOG.debug(""String_Node_Str"");
  final long oldTime=this.jsTokenStartTime;
  this.jsTokenStartTime=refreshTime;
  String url=""String_Node_Str"" + accessToken + ""String_Node_Str"";
  NetWorkCenter.get(url,null,new NetWorkCenter.ResponseCallback(){
    @Override public void onResponse(    int resultCode,    String resultJson){
      if (HttpStatus.SC_OK == resultCode) {
        GetJsApiTicketResponse response=JSONUtil.toBean(resultJson,GetJsApiTicketResponse.class);
        LOG.debug(""String_Node_Str"",response.getTicket());
        if (StrUtil.isBlank(response.getTicket())) {
          jsTokenStartTime=oldTime;
          throw new WeixinException(""String_Node_Str"" + response.getErrcode() + ""String_Node_Str""+ response.getErrmsg());
        }
        jsApiTicket=response.getTicket();
      }
    }
  }
);
}"
28007,"/** 
 * 构造方法二，实现同时获取access_token，启用jsApi
 * @param appid       公众号appid
 * @param secret      公众号secret
 * @param enableJsApi 是否启动js api
 */
public ApiConfig(String appid,String secret,boolean enableJsApi){
  this.appid=appid;
  this.secret=secret;
  this.enableJsApi=enableJsApi;
  initToken();
  if (enableJsApi)   initJSToken();
}","/** 
 * 构造方法二，实现同时获取access_token，启用jsApi
 * @param appid       公众号appid
 * @param secret      公众号secret
 * @param enableJsApi 是否启动js api
 */
public ApiConfig(String appid,String secret,boolean enableJsApi){
  this.appid=appid;
  this.secret=secret;
  this.enableJsApi=enableJsApi;
  long now=System.currentTimeMillis();
  initToken(now);
  if (enableJsApi)   initJSToken(now);
}"
28008,"/** 
 * 初始化微信配置，即第一次获取access_token
 */
private void initToken(){
  LOG.debug(""String_Node_Str"");
  String url=""String_Node_Str"" + this.appid + ""String_Node_Str""+ this.secret;
  NetWorkCenter.get(url,null,new NetWorkCenter.ResponseCallback(){
    @Override public void onResponse(    int resultCode,    String resultJson){
      if (HttpStatus.SC_OK == resultCode) {
        GetTokenResponse response=JSONUtil.toBean(resultJson,GetTokenResponse.class);
        LOG.debug(""String_Node_Str"",response.getAccessToken());
        if (null == response.getAccessToken()) {
          throw new WeixinException(""String_Node_Str"" + response.getErrcode() + ""String_Node_Str""+ response.getErrmsg());
        }
        ApiConfig.this.accessToken=response.getAccessToken();
      }
    }
  }
);
}","/** 
 * 初始化微信配置，即第一次获取access_token
 * @param refreshTime 刷新时间
 */
private void initToken(final long refreshTime){
  LOG.debug(""String_Node_Str"");
  final long oldTime=this.weixinTokenStartTime;
  this.weixinTokenStartTime=refreshTime;
  String url=""String_Node_Str"" + this.appid + ""String_Node_Str""+ this.secret;
  NetWorkCenter.get(url,null,new NetWorkCenter.ResponseCallback(){
    @Override public void onResponse(    int resultCode,    String resultJson){
      if (HttpStatus.SC_OK == resultCode) {
        GetTokenResponse response=JSONUtil.toBean(resultJson,GetTokenResponse.class);
        LOG.debug(""String_Node_Str"",response.getAccessToken());
        if (null == response.getAccessToken()) {
          weixinTokenStartTime=oldTime;
          throw new WeixinException(""String_Node_Str"" + response.getErrcode() + ""String_Node_Str""+ response.getErrmsg());
        }
        accessToken=response.getAccessToken();
      }
    }
  }
);
}"
28009,"public String getAccessToken(){
  return accessToken;
}","public String getAccessToken(){
  long now=System.currentTimeMillis();
  if (now - this.weixinTokenStartTime > 7100000) {
    initToken(now);
  }
  return accessToken;
}"
28010,"protected void logException(Exception ex){
  logger.error(""String_Node_Str"",ex);
}","protected void logException(String msg,Exception ex){
  logger.error(msg,ex);
}"
